Year;m;d;Time;Time zone;Air temperature (degC);Maximum temperature (degC);Minimum temperature (degC)
2018;1;1;00:00;UTC;-4;-1,8;-4,9
2018;1;2;00:00;UTC;-4,6;-4,1;-5,1
2018;1;3;00:00;UTC;-4,4;-2;-5,9
2018;1;4;00:00;UTC;-6,5;-2,4;-9,5
2018;1;5;00:00;UTC;-11,2;-5,7;-16,1
2018;1;6;00:00;UTC;-2,8;-1,4;-5,7
2018;1;7;00:00;UTC;-6;-1,6;-7,2
2018;1;8;00:00;UTC;-11,7;-6,9;-18,7
2018;1;9;00:00;UTC;-13;-3;-19,8
2018;1;10;00:00;UTC;-8,9;-6,6;-14,8
2018;1;11;00:00;UTC;-6,2;-4,7;-7,2
2018;1;12;00:00;UTC;-6,5;-4,5;-7,5
2018;1;13;00:00;UTC;-10,1;-5,1;-15,2
2018;1;14;00:00;UTC;-3;-2,6;-5,6
2018;1;15;00:00;UTC;-5,3;-2,6;-7,9
2018;1;16;00:00;UTC;-11,2;-7,9;-12,2
2018;1;17;00:00;UTC;-15,8;-11,5;-19,5
2018;1;18;00:00;UTC;-10,5;-7;-16,1
2018;1;19;00:00;UTC;-14;-6;-20,7
2018;1;20;00:00;UTC;-11,5;-7,3;-20,4
2018;1;21;00:00;UTC;-13,3;-7,3;-15,7
2018;1;22;00:00;UTC;-21;-15,7;-24,2
2018;1;23;00:00;UTC;-22,2;-16,1;-30,2
2018;1;24;00:00;UTC;-22,5;-13,2;-33,5
2018;1;25;00:00;UTC;-4;0;-13,2
2018;1;26;00:00;UTC;-12,1;0,1;-16,6
2018;1;27;00:00;UTC;-15,7;-11,4;-23,9
2018;1;28;00:00;UTC;-13,2;-11,3;-15,6
2018;1;29;00:00;UTC;-8,3;-6,8;-11,9
2018;1;30;00:00;UTC;-7,1;-6;-7,5
2018;1;31;00:00;UTC;-14,3;-6,8;-22,6
2018;2;1;00:00;UTC;-28;-22,6;-29,8
2018;2;2;00:00;UTC;-21,4;-13;-32,5
2018;2;3;00:00;UTC;-18;-15,5;-19,4
2018;2;4;00:00;UTC;-23,3;-15,6;-27,8
2018;2;5;00:00;UTC;-27,1;-22,7;-31,7
2018;2;6;00:00;UTC;-21,5;-14,7;-28,5
2018;2;7;00:00;UTC;-15,7;-11;-19
2018;2;8;00:00;UTC;-16;-15,2;-18,9
2018;2;9;00:00;UTC;-6,3;-4,2;-15,6
2018;2;10;00:00;UTC;-6,2;-4,9;-7,8
2018;2;11;00:00;UTC;-8,3;-4,6;-11
2018;2;12;00:00;UTC;-12,9;-11;-14,7
2018;2;13;00:00;UTC;-7,2;-4,9;-11,5
2018;2;14;00:00;UTC;-2,5;-1,5;-5,1
2018;2;15;00:00;UTC;-2,4;-1,5;-3,2
2018;2;16;00:00;UTC;-4;-2,5;-8
2018;2;17;00:00;UTC;-8,5;-5,6;-10,9
2018;2;18;00:00;UTC;-13,7;-10,4;-17,8
2018;2;19;00:00;UTC;-20,1;-12,9;-25,1
2018;2;20;00:00;UTC;-22,1;-14,8;-28,2
2018;2;21;00:00;UTC;-15,6;-9,9;-25,6
2018;2;22;00:00;UTC;-16,8;-10,7;-22,9
2018;2;23;00:00;UTC;-23,8;-14,9;-30,5
2018;2;24;00:00;UTC;-20;-12,1;-32,6
2018;2;25;00:00;UTC;-9,4;-5,2;-18,6
2018;2;26;00:00;UTC;-7,7;-5,5;-8,1
2018;2;27;00:00;UTC;-16,7;-8;-19,8
2018;2;28;00:00;UTC;-16,6;-9,5;-25,9
2018;3;1;00:00;UTC;-9,8;-6,4;-13,5
2018;3;2;00:00;UTC;-7,8;-3,8;-10,8
2018;3;3;00:00;UTC;-15,8;-8;-20,7
2018;3;4;00:00;UTC;-17,9;-8,1;-28
2018;3;5;00:00;UTC;-18,6;-8,9;-24,8
2018;3;6;00:00;UTC;-22,6;-11,5;-29,8
2018;3;7;00:00;UTC;-16,7;-9,8;-24
2018;3;8;00:00;UTC;-14,3;-10,5;-19,6
2018;3;9;00:00;UTC;-9,7;-7,2;-12
2018;3;10;00:00;UTC;-6,5;-4,2;-9,7
2018;3;11;00:00;UTC;-3,4;-1,8;-4,9
2018;3;12;00:00;UTC;-7,2;-2,5;-10,8
2018;3;13;00:00;UTC;-9;-4,5;-14,2
2018;3;14;00:00;UTC;-9,4;-5,6;-12
2018;3;15;00:00;UTC;-13,4;-5,4;-23,3
2018;3;16;00:00;UTC;-13,2;-5,1;-22,4
2018;3;17;00:00;UTC;-8,7;-1,1;-21,3
2018;3;18;00:00;UTC;-4,9;0,7;-6,8
2018;3;19;00:00;UTC;-10,4;-4,6;-16,6
2018;3;20;00:00;UTC;-16,6;-4,7;-26,4
2018;3;21;00:00;UTC;-11,5;-7;-22,9
2018;3;22;00:00;UTC;-8,7;-3,9;-11,1
2018;3;23;00:00;UTC;-12,3;-3;-23
2018;3;24;00:00;UTC;-8,8;-2,4;-13,5
2018;3;25;00:00;UTC;-13,3;-3,9;-24,9
2018;3;26;00:00;UTC;-11;-3,1;-23,2
2018;3;27;00:00;UTC;-9,2;-3,1;-17,9
2018;3;28;00:00;UTC;-6,8;-1,8;-17,7
2018;3;29;00:00;UTC;-3,1;0,7;-5,9
2018;3;30;00:00;UTC;-5,4;-0,5;-11,3
2018;3;31;00:00;UTC;-3,8;1,5;-9,8
2018;4;1;00:00;UTC;-5,7;1,8;-14,7
2018;4;2;00:00;UTC;-5,7;2;-17,9
2018;4;3;00:00;UTC;-2,6;-0,9;-4,3
2018;4;4;00:00;UTC;-2;3;-4,1
2018;4;5;00:00;UTC;-0,5;2,9;-5,4
2018;4;6;00:00;UTC;0,2;1,5;-0,7
2018;4;7;00:00;UTC;-1,6;3,6;-5,5
2018;4;8;00:00;UTC;-3,8;1,7;-6,3
2018;4;9;00:00;UTC;-4,9;-1,3;-11,7
2018;4;10;00:00;UTC;-2,2;2,9;-5,9
2018;4;11;00:00;UTC;-2,2;5,1;-8,8
2018;4;12;00:00;UTC;0,5;7,6;-8,1
2018;4;13;00:00;UTC;0,7;8,3;-9,9
2018;4;14;00:00;UTC;1,9;8,3;-4,2
2018;4;15;00:00;UTC;0,9;7,2;-7
2018;4;16;00:00;UTC;3;10,8;-3
2018;4;17;00:00;UTC;4,9;11,5;0,6
2018;4;18;00:00;UTC;4;12,4;-5,6
2018;4;19;00:00;UTC;1,7;5;0
2018;4;20;00:00;UTC;-1,5;0,6;-3
2018;4;21;00:00;UTC;-1,6;1,1;-3,8
2018;4;22;00:00;UTC;-0,8;2,4;-4,6
2018;4;23;00:00;UTC;2,1;6;-0,7
2018;4;24;00:00;UTC;3,8;8;0,5
