ville_mystere;station_finlande
-5;-4
-6;-4,6
-5;-4,4
-3;-6,5
-6;-11,2
-11;-2,8
-6;-6
-8;-11,7
-11;-13
-8;-8,9
-8;-6,2
-8;-6,5
-8;-10,1
-10;-3
-10;-5,3
-9;-11,2
-6;-15,8
-6;-10,5
-4;-14
-8;-11,5
-9;-13,3
-14;-21
-15;-22,2
-17;-22,5
-19;-4
-23;-12,1
-8;-15,7
-9;-13,2
-5;-8,3
-6;-7,1
-7;-14,3
-7;-28
-6;-21,4
-5;-18
-6;-23,3
-8;-27,1
-9;-21,5
5;-15,7
-11;-16
-12;-6,3
-9;-6,2
-6;-8,3
-5;-12,9
-4;-7,2
1;-2,5
3;-2,4
-9;-4
-6;-8,5
-6;-13,7
-4;-20,1
2;-22,1
3;-15,6
1;-16,8
-3;-23,8
-4;-20
-6;-9,4
-8;-7,7
-8;-16,7
-11;-16,6
-7;-9,8
-8;-7,8
-5;-15,8
-3;-17,9
-2;-18,6
1;-22,6
2;-16,7
1;-14,3
1;-9,7
2;-6,5
1;-3,4
3;-7,2
5;-9
5;-9,4
7;-13,4
3;-13,2
2;-8,7
-1;-4,9
-2;-10,4
-1;-16,6
0;-11,5
1;-8,7
2;-12,3
3;-8,8
4;-13,3
3;-11
4;-9,2
5;-6,8
5;-3,1
3;-5,4
3;-3,8
2;-5,7
3;-5,7
4;-2,6
6;-2
4;-0,5
5;0,2
4;-1,6
6;-3,8
7;-4,9
7;-2,2
8;-2,2
8;0,5
9;0,7
10;1,9
8;0,9
8;3
9;4,9
11;4
10;1,7
11;-1,5
12;-1,6
9;-0,8
7;2,1
8;3,8
8;3,6
6;3,2
9;2,8
11;3,9
14;1,1
16;0,9
12;2,8
14;2,6
15;4,2
16;1,3
13;2
12;6,1
8;3,7
7;5,3
6;10
5;13,7
5;13,8
6;14,7
8;15
10;15,6
12;14,9
13;16,7
14;7,9
13;6,4
15;10
15;10,6
15;15,6
18;16
18;7,9
16;7,6
15;14,5
16;11,5
16;9,5
17;15,3
16;14
17;7,8
17;9
17;12,3
16;11,4
17;8,8
14;5,4
15;4,5
17;4,5
17;5,7
15;6,2
14;8,6
15;9,6
14;8,3
13;4,5
11;6,5
14;10,6
15;14,9
15;16,4
15;16,1
17;14,8
16;14,8
19;11,9
20;12,5
19;11
20;11,1
22;11,1
22;15,3
21;16,1
22;13,9
21;10,7
21;11,1
17;9,5
20;13,9
20;17,9
17;17,8
18;15,4
17;13,7
17;17,7
16;15,1
17;18,3
17;18,6
15;19,5
15;21,6
16;20,7
16;19,6
13;17,1
14;17,3
14;19,9
15;23,3
15;25
15;24,1
17;23,5
18;18,8
19;20,5
21;20,6
24;21,3
23;22,9
26;17,4
26;15,4
21;16,1
22;19,2
23;22,1
21;23,6
20;24,2
19;19,9
19;15,5
18;13,6
17;14
18;11,8
16;10,1
17;15,6
15;18,6
14;17
14;16,4
15;13,8
15;11,9
15;8,7
17;9,7
18;10,2
19;17,1
21;16,9
24;13,7
21;10,7
21;10,2
26;9
17;8,9
18;9,6
17;14,6
17;12,6
16;10,6
17;9,1
17;10,8
18;12,5
17;12,2
16;9,2
14;13
15;13,4
13;11,4
12;10
10;9,3
12;6,6
11;5,5
11;7,2
12;9,7
10;11
10;9,8
9;10,6
9;9
10;9,2
11;7
10;6,3
10;5,9
9;5,9
11;9,2
12;10,1
12;11
10;9
11;5,1
10;2
9;2,4
6;3,5
7;0,4
7;-0,6
6;3,2
6;2
2;-1,2
3;-2,6
4;-2,7
3;-1,7
2;-1,3
4;-3,3
5;-2,9
3;3,9
4;2
2;0,3
1;4,9
3;7,4
3;11
3;7
1;1,5
4;1,1
6;3,2
6;0,6
6;-0,3
7;4,7
7;0,9
6;-4
6;-5,5
6;-3,9
4;-2,7
3;-3,8
3;-8,9
4;-11,6
2;-10,1
1;-1
0;2,3
1;-2
2;-0,1
3;0,4
4;3,3
3;3,5
4;1,5
5;1
5;0,9
-1;-0,3
-2;0,2
-1;2,1
-7;3,3
-8;0,2
-5;2,3
-3;4,4
-2;3,8
1;-3,4
2;-4,6
1;-0,3
0;-0,6
0;-0,8
1;-3,4
3;-2,6
5;-5
-2;-6,9
-3;-11,4
-6;-8,1
-6;-1,9
-4;1,3
-6;1
-4;-3,5
-8;-3,2
-9;-6,1
-9;-3,7
-9;-5,2
-8;-7,1
-4;-3,4
-3;-2,7
-8;-2,5
-9;-3,4
-5;-15
-6;-12,3
-7;-5,7
-11;-5,2
-6;-4,4
-8;-7,9
-11;-7
-8;-7
-8;-6,7
-3;-9,6
-6;-22
-8;-24,6
-9;-14,7
-5;-7,6
-6;-8,4
-7;-12,1
-8;-9,4
-6;-3,1
-7;-15,4
-5;-12,8
